./figures/train
Iterate [64]: time: 15.1849, d_loss: 0.06000347, g_loss: 11.36038113, flux: 0.00633795
Iterate [65]: time: 15.3653, d_loss: 0.14157237, g_loss: 12.98945045, flux: 0.00449890
Iterate [66]: time: 15.5456, d_loss: 0.06137293, g_loss: 18.64940453, flux: 0.00555702
Iterate [67]: time: 15.7267, d_loss: 6.24167824, g_loss: 14.02642822, flux: 0.00297549
Iterate [68]: time: 15.9069, d_loss: 0.69888878, g_loss: 6.25726891, flux: 0.00314630
Iterate [69]: time: 16.0868, d_loss: 7.52720976, g_loss: 6.33326912, flux: 0.00244616
Iterate [70]: time: 16.2667, d_loss: 0.04558858, g_loss: 14.74305534, flux: 0.00420072
Iterate [71]: time: 16.4477, d_loss: 0.32005304, g_loss: 12.33859825, flux: 0.00272114
Iterate [72]: time: 16.6279, d_loss: 3.71481085, g_loss: 12.43880272, flux: 0.00201059
Iterate [73]: time: 16.8080, d_loss: 0.02272297, g_loss: 11.28526783, flux: 0.00157429
Iterate [74]: time: 16.9891, d_loss: 0.35203183, g_loss: 5.33762074, flux: 0.00285430
Iterate [75]: time: 17.1706, d_loss: 0.89848971, g_loss: 7.75674915, flux: 0.00175852
Iterate [76]: time: 17.3511, d_loss: 0.06209685, g_loss: 11.90265083, flux: 0.00243643
Iterate [77]: time: 17.5320, d_loss: 0.56044197, g_loss: 12.92654991, flux: 0.00180427
Iterate [78]: time: 17.7120, d_loss: 3.17410064, g_loss: 5.80012941, flux: 0.00186912
Iterate [79]: time: 17.8924, d_loss: 0.33699989, g_loss: 7.27242756, flux: 0.00152093
Iterate [80]: time: 18.0725, d_loss: 2.56735396, g_loss: 8.00394821, flux: 0.00195501
Iterate [81]: time: 18.2543, d_loss: 4.15389729, g_loss: 10.90899944, flux: 0.00166096
Iterate [82]: time: 18.4349, d_loss: 0.37053633, g_loss: 11.49816704, flux: 0.00207487
Iterate [83]: time: 18.6170, d_loss: 2.72652197, g_loss: 9.91074085, flux: 0.00168973
Iterate [84]: time: 18.7969, d_loss: 0.65277034, g_loss: 5.97242594, flux: 0.00086033
Iterate [85]: time: 18.9772, d_loss: 0.87215930, g_loss: 9.15915680, flux: 0.00118413
Iterate [86]: time: 19.1615, d_loss: 0.04528914, g_loss: 12.64861679, flux: 0.00146516
Iterate [87]: time: 19.3421, d_loss: 0.01201929, g_loss: 13.17130661, flux: 0.00105492
Iterate [88]: time: 19.5239, d_loss: 1.42731309, g_loss: 7.85883904, flux: 0.00141899
Iterate [89]: time: 19.7042, d_loss: 0.29069978, g_loss: 5.48998499, flux: 0.00028762
Iterate [90]: time: 19.8846, d_loss: 3.30753422, g_loss: 8.83134174, flux: 0.00018293
Iterate [91]: time: 20.0649, d_loss: 0.19490597, g_loss: 11.71450806, flux: 0.00027749
Iterate [92]: time: 20.2456, d_loss: 0.16222554, g_loss: 15.94038391, flux: 0.00044716
Iterate [93]: time: 20.4258, d_loss: 8.24795628, g_loss: 8.90644169, flux: 0.00044741
Iterate [94]: time: 20.6057, d_loss: 6.27549505, g_loss: 7.26700926, flux: 0.00024092
Iterate [95]: time: 20.7873, d_loss: 5.58436823, g_loss: 4.79501677, flux: 0.00032988
Iterate [96]: time: 20.9681, d_loss: 3.60305738, g_loss: 7.56636906, flux: 0.00014069
Iterate [97]: time: 21.1505, d_loss: 0.28845298, g_loss: 9.85776138, flux: 0.00045326
Iterate [98]: time: 21.3317, d_loss: 1.61211848, g_loss: 11.19444656, flux: 0.00045546
Iterate [99]: time: 21.5124, d_loss: 0.74855655, g_loss: 10.16237259, flux: 0.00050115
Iterate [100]: time: 21.6939, d_loss: 0.23563430, g_loss: 12.72938156, flux: 0.00050819
Iterate [101]: time: 21.8747, d_loss: 0.60474938, g_loss: 7.69734573, flux: 0.00092049
Iterate [102]: time: 22.0554, d_loss: 0.14003395, g_loss: 11.04358864, flux: 0.00132479
Iterate [103]: time: 22.2361, d_loss: 0.40647781, g_loss: 9.52332878, flux: 0.00121780
Iterate [104]: time: 22.4166, d_loss: 0.13458447, g_loss: 9.65192127, flux: 0.00144420
Iterate [105]: time: 22.5966, d_loss: 0.42995051, g_loss: 11.64052391, flux: 0.00166145
Iterate [106]: time: 22.7769, d_loss: 0.71097744, g_loss: 8.09147644, flux: 0.00218568
Iterate [107]: time: 22.9574, d_loss: 0.04085938, g_loss: 16.58470154, flux: 0.00223195
Iterate [108]: time: 23.1373, d_loss: 0.05768828, g_loss: 9.20502090, flux: 0.00377239
Iterate [109]: time: 23.3187, d_loss: 0.49026549, g_loss: 27.85384750, flux: 0.00183979
Iterate [110]: time: 23.4998, d_loss: 0.11780476, g_loss: 8.72051525, flux: 0.00302309
Iterate [111]: time: 23.6816, d_loss: 0.05071749, g_loss: 10.38532448, flux: 0.00405833
Iterate [112]: time: 23.8616, d_loss: 0.12198373, g_loss: 9.01079273, flux: 0.00457634
Iterate [113]: time: 24.0423, d_loss: 0.05084284, g_loss: 9.52365303, flux: 0.00478214
Iterate [114]: time: 24.2227, d_loss: 0.05878397, g_loss: 12.54843521, flux: 0.00516780
Iterate [115]: time: 24.4034, d_loss: 0.02711398, g_loss: 11.44077873, flux: 0.00517075
Iterate [116]: time: 24.5837, d_loss: 0.04771462, g_loss: 9.54907036, flux: 0.00541146
Iterate [117]: time: 24.7641, d_loss: 0.36274484, g_loss: 8.99619675, flux: 0.00637591
Iterate [118]: time: 24.9445, d_loss: 1.99329054, g_loss: 6.14015770, flux: 0.00841414
Iterate [119]: time: 25.1252, d_loss: 2.70268941, g_loss: 7.47304869, flux: 0.00565313
Iterate [120]: time: 25.3058, d_loss: 1.70012403, g_loss: 11.11619377, flux: 0.00779974
Iterate [121]: time: 25.4869, d_loss: 0.93806899, g_loss: 11.20621872, flux: 0.00503612
Iterate [122]: time: 25.6679, d_loss: 0.33917469, g_loss: 6.77220058, flux: 0.00498098
Iterate [123]: time: 25.8478, d_loss: 0.71945935, g_loss: 6.14598703, flux: 0.00482402
Iterate [124]: time: 26.0282, d_loss: 5.79495049, g_loss: 7.11684513, flux: 0.00598354
Iterate [125]: time: 26.2084, d_loss: 1.84466791, g_loss: 5.92726564, flux: 0.00492516
Iterate [126]: time: 26.3894, d_loss: 1.64574313, g_loss: 7.87425661, flux: 0.00655218
Iterate [127]: time: 26.5702, d_loss: 2.14796686, g_loss: 6.63987970, flux: 0.00384770
Iterate [128]: time: 26.7507, d_loss: 1.48071051, g_loss: 5.88437700, flux: 0.00355986
Iterate [129]: time: 26.9328, d_loss: 1.88380647, g_loss: 9.10484314, flux: 0.00431495
Iterate [130]: time: 27.1136, d_loss: 0.59690714, g_loss: 6.54406834, flux: 0.00277322
Iterate [131]: time: 27.2940, d_loss: 1.75307274, g_loss: 7.78471708, flux: 0.00297602
Iterate [132]: time: 27.4748, d_loss: 0.96986347, g_loss: 7.14055252, flux: 0.00218765
Iterate [133]: time: 27.6567, d_loss: 0.66401660, g_loss: 7.06652403, flux: 0.00140488
Iterate [134]: time: 27.8374, d_loss: 0.42085746, g_loss: 7.47405481, flux: 0.00128534
Iterate [135]: time: 28.0188, d_loss: 0.44774061, g_loss: 6.58176851, flux: 0.00105323
Iterate [136]: time: 28.1991, d_loss: 1.02059102, g_loss: 6.95900154, flux: 0.00051601
Iterate [137]: time: 28.3795, d_loss: 0.44619820, g_loss: 5.29856110, flux: 0.00058680
Iterate [138]: time: 28.5599, d_loss: 0.72533417, g_loss: 5.79874325, flux: 0.00043088
Iterate [139]: time: 28.7407, d_loss: 0.91476536, g_loss: 6.40669346, flux: 0.00026234
Iterate [140]: time: 28.9212, d_loss: 0.74554032, g_loss: 5.93578339, flux: 0.00018932
Iterate [141]: time: 29.1114, d_loss: 1.27224684, g_loss: 6.63922691, flux: 0.00005313
Iterate [142]: time: 29.2927, d_loss: 0.89276063, g_loss: 4.95164299, flux: 0.00011622
Iterate [143]: time: 29.4740, d_loss: 2.09895515, g_loss: 5.32792044, flux: 0.00007973
Iterate [144]: time: 29.6550, d_loss: 2.79284286, g_loss: 9.00773430, flux: 0.00004152
Iterate [145]: time: 29.8372, d_loss: 1.82007492, g_loss: 5.95018101, flux: 0.00016336
Iterate [146]: time: 30.0179, d_loss: 2.34286118, g_loss: 6.29589415, flux: 0.00013359
Iterate [147]: time: 30.1978, d_loss: 1.73307753, g_loss: 4.68005610, flux: 0.00023922
Iterate [148]: time: 30.3830, d_loss: 0.93448538, g_loss: 5.38061142, flux: 0.00034430
Iterate [149]: time: 30.5637, d_loss: 1.76095307, g_loss: 6.64756823, flux: 0.00027894
Iterate [150]: time: 30.7441, d_loss: 1.07542324, g_loss: 5.20143652, flux: 0.00032510
Iterate [151]: time: 30.9250, d_loss: 1.21950531, g_loss: 4.77747011, flux: 0.00074688
Iterate [152]: time: 31.1073, d_loss: 1.43166029, g_loss: 5.66048431, flux: 0.00092282
Iterate [153]: time: 31.2873, d_loss: 0.90702349, g_loss: 5.67062950, flux: 0.00060423
Iterate [154]: time: 31.4676, d_loss: 1.37025750, g_loss: 6.35385513, flux: 0.00077240
Iterate [155]: time: 31.6495, d_loss: 1.07346809, g_loss: 5.14829159, flux: 0.00048153
Iterate [156]: time: 31.8306, d_loss: 0.81965190, g_loss: 4.05099630, flux: 0.00089402
Iterate [157]: time: 32.0109, d_loss: 1.26504683, g_loss: 4.17518377, flux: 0.00087530
