Iterate [81]: time: 18.5426, d_loss: 0.63329506, g_loss: 12.58654690
Iterate [82]: time: 18.7267, d_loss: 1.06460595, g_loss: 11.11656761
Iterate [83]: time: 18.9107, d_loss: 0.58479857, g_loss: 12.04638481
Iterate [84]: time: 19.0948, d_loss: 1.33628106, g_loss: 31.71451569
Iterate [85]: time: 19.2783, d_loss: 0.79379058, g_loss: 10.92448997
Iterate [86]: time: 19.4624, d_loss: 0.74183393, g_loss: 9.55129719
Iterate [87]: time: 19.6460, d_loss: 2.25251055, g_loss: 7.95710754
Iterate [88]: time: 19.8301, d_loss: 0.91120028, g_loss: 12.45016479
Iterate [89]: time: 20.0150, d_loss: 2.39239478, g_loss: 19.26173401
Iterate [90]: time: 20.1993, d_loss: 1.13440585, g_loss: 9.03884697
Iterate [91]: time: 20.3830, d_loss: 1.10262239, g_loss: 13.15760612
Iterate [92]: time: 20.5669, d_loss: 3.14634705, g_loss: 7.84777832
Iterate [93]: time: 20.7503, d_loss: 1.86389732, g_loss: 10.91403675
Iterate [94]: time: 20.9342, d_loss: 2.21262527, g_loss: 9.08774567
Iterate [95]: time: 21.1178, d_loss: 4.66369390, g_loss: 8.70989799
Iterate [96]: time: 21.3017, d_loss: 3.22657251, g_loss: 10.66652775
Iterate [97]: time: 21.4859, d_loss: 2.04101157, g_loss: 8.07599926
Iterate [98]: time: 21.6702, d_loss: 3.57788777, g_loss: 19.80788612
Iterate [99]: time: 21.8542, d_loss: 2.00862026, g_loss: 17.97444153
Iterate [100]: time: 22.0397, d_loss: 1.96094012, g_loss: 10.85712624
Iterate [101]: time: 22.2233, d_loss: 2.37880778, g_loss: 9.19495678
Iterate [102]: time: 22.4072, d_loss: 2.32039690, g_loss: 10.62799072
Iterate [103]: time: 22.5917, d_loss: 1.70994782, g_loss: 8.63840294
Iterate [104]: time: 22.7758, d_loss: 1.47849369, g_loss: 6.66971493
Iterate [105]: time: 22.9600, d_loss: 2.34520006, g_loss: 9.84096432
Iterate [106]: time: 23.1442, d_loss: 1.74844718, g_loss: 8.06472874
Iterate [107]: time: 23.3281, d_loss: 1.36403728, g_loss: 13.44538689
Iterate [108]: time: 23.5120, d_loss: 1.40312362, g_loss: 6.93509197
Iterate [109]: time: 23.6961, d_loss: 1.95173931, g_loss: 8.86938667
Iterate [110]: time: 23.8801, d_loss: 2.48084545, g_loss: 8.87110806
Iterate [111]: time: 24.0650, d_loss: 3.52013636, g_loss: 12.12606430
Iterate [112]: time: 24.2500, d_loss: 1.74305618, g_loss: 12.22439384
Iterate [113]: time: 24.4342, d_loss: 1.73815393, g_loss: 28.63646126
Iterate [114]: time: 24.6183, d_loss: 2.94576073, g_loss: 7.84632111
Iterate [115]: time: 24.8022, d_loss: 4.99720907, g_loss: 11.46718693
Iterate [116]: time: 24.9865, d_loss: 1.49898517, g_loss: 12.53572369
Iterate [117]: time: 25.1708, d_loss: 2.15029526, g_loss: 22.76743317
Iterate [118]: time: 25.3553, d_loss: 1.39756441, g_loss: 15.18789005
Iterate [119]: time: 25.5394, d_loss: 1.97583330, g_loss: 8.65358162
Iterate [120]: time: 25.7234, d_loss: 1.48015404, g_loss: 11.99562740
Iterate [121]: time: 25.9072, d_loss: 2.38792133, g_loss: 13.77237701
Iterate [122]: time: 26.0912, d_loss: 1.58748841, g_loss: 9.63062668
Iterate [123]: time: 26.2764, d_loss: 1.47305024, g_loss: 8.78049088
Iterate [124]: time: 26.4606, d_loss: 1.55507708, g_loss: 13.39146900
Iterate [125]: time: 26.6448, d_loss: 1.44470763, g_loss: 7.67564011
Iterate [126]: time: 26.8291, d_loss: 1.63488126, g_loss: 7.55412531
Iterate [127]: time: 27.0131, d_loss: 1.58785105, g_loss: 10.32553959
Iterate [128]: time: 27.1974, d_loss: 1.48532796, g_loss: 8.87799549
